item,level,credits_2021,debits_2021,balance_2021,credits_2022,debits_2022,balance_2022
1. Current account,1,1217059,1207192,9867,1305182,1361853,-56671
1.1. Goods,2,622099,701546,-79447,669608,813875,-144267
1.2. Services,2,303452,262453,40999,343419,288781,54638
1.3. Income,2,236992,139916,97076,245451,164373,81078
1.4. Current transfers,2,54516,103277,-48761,46704,94824,-48120
2. Capital account,1,11819,485,11334,12510,1196,11314
3. Financial account,1,570363,592038,-21675,646671,708366,-61695
3.1. Direct investment,2,108891,95865,13026,118759,105425,13334
3.2. Portfolio investment,2,144062,122206,21856,35326,155737,-120411
3.3. Financial derivatives,2,152737,132013,20724,248775,291755,-42980
3.4. Other investment,2,164673,241954,-77281,243811,155449,88362
4. Net errors and omissions,1,NA,NA,-15866,NA,NA,-14661
5. Reserve assets,1,27009,NA,27009,1677,NA,1677
